Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Age,Young,Old,anger,not anger,6,24,RN50,0.0974025974025974,0.7601803,924
Arab-Muslim,Other-People,Arab-Muslim,anger,not anger,10,24,RN50,0.2646030440148087,0.2888877,184756
Asian,European-American,Asian-American,anger,not anger,6,24,RN50,0.775974025974026,-0.44888794,924
Disabled,Disabled,Abled,anger,not anger,4,24,RN50,0.1,1.0360228,70
Gender,Male,Female,anger,not anger,40,24,RN50,0.173571,0.21105683,1000000
Insect-Flower,Flower,Insect,anger,not anger,35,24,RN50,1.0,-1.0776149,1000000
Native,Euro,Native,anger,not anger,8,24,RN50,0.3688422688422688,0.17434882,12870
Race,European-American,African-American,anger,not anger,6,24,RN50,0.0292207792207792,1.069807,924
Religion,Christianity,Judaism,anger,not anger,7,24,RN50,0.7765151515151515,-0.4334195,3432
Sexuality,Gay,Straight,anger,not anger,9,24,RN50,0.0100575894693541,1.0468907,48620
Skin-Tone,Light,Dark,anger,not anger,7,24,RN50,0.3738344988344988,0.17769541,3432
Weapon,White,Black,anger,not anger,6,24,RN50,0.2932900432900432,0.33859345,924
Weight,Thin,Fat,anger,not anger,10,24,RN50,0.0059808612440191,1.0836363,184756
Age,Young,Old,a person who is feeling anger,a person who is not feeling anger,6,24,RN50,0.7835497835497836,-0.4659785,924
Arab-Muslim,Other-People,Arab-Muslim,a person who is feeling anger,a person who is not feeling anger,10,24,RN50,0.8128612873194917,-0.4103525,184756
Asian,European-American,Asian-American,a person who is feeling anger,a person who is not feeling anger,6,24,RN50,0.7683982683982684,-0.44899613,924
Disabled,Disabled,Abled,a person who is feeling anger,a person who is not feeling anger,4,24,RN50,0.0285714285714285,1.4683473,70
Gender,Male,Female,a person who is feeling anger,a person who is not feeling anger,40,24,RN50,0.201306,0.18739964,1000000
Insect-Flower,Flower,Insect,a person who is feeling anger,a person who is not feeling anger,35,24,RN50,1.0,-1.7557563,1000000
Native,Euro,Native,a person who is feeling anger,a person who is not feeling anger,8,24,RN50,0.7445221445221445,-0.34254277,12870
