Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Asian,European-American,Asian-American,anger,not anger,104,126,ViT-L/14@336px,0.462171,0.013389211,1000000
Gender,Male,Female,anger,not anger,208,126,ViT-L/14@336px,0.977256,-0.19611776,1000000
Race,European-American,African-American,anger,not anger,180,126,ViT-L/14@336px,0.399277,0.02709377,1000000
Asian,European-American,Asian-American,anger,apathy,104,28,ViT-L/14@336px,0.999944,-0.5301425,1000000
Gender,Male,Female,anger,apathy,208,28,ViT-L/14@336px,1.0,-0.6981614,1000000
Race,European-American,African-American,anger,apathy,180,28,ViT-L/14@336px,0.999999,-0.48550522,1000000
Asian,European-American,Asian-American,disgust,not disgust,104,28,ViT-L/14@336px,0.00419,0.36381614,1000000
Gender,Male,Female,disgust,not disgust,208,28,ViT-L/14@336px,0.003176,0.26696774,1000000
Race,European-American,African-American,disgust,not disgust,180,28,ViT-L/14@336px,0.043413,0.18070276,1000000
Asian,European-American,Asian-American,disgust,apathy,104,28,ViT-L/14@336px,0.010714,0.31806988,1000000
Gender,Male,Female,disgust,apathy,208,28,ViT-L/14@336px,1.0,-0.5839214,1000000
Race,European-American,African-American,disgust,apathy,180,28,ViT-L/14@336px,0.000142,0.38226467,1000000
Asian,European-American,Asian-American,fear,not fear,104,140,ViT-L/14@336px,0.001099,0.42363226,1000000
Gender,Male,Female,fear,not fear,208,140,ViT-L/14@336px,0.015912,0.21030024,1000000
Race,European-American,African-American,fear,not fear,180,140,ViT-L/14@336px,1e-06,0.9253623,1000000
Asian,European-American,Asian-American,fear,apathy,104,28,ViT-L/14@336px,0.060633,0.21513078,1000000
Gender,Male,Female,fear,apathy,208,28,ViT-L/14@336px,0.883293,-0.11663459,1000000
Race,European-American,African-American,fear,apathy,180,28,ViT-L/14@336px,1.0,-0.8265071,1000000
Asian,European-American,Asian-American,joy,not joy,104,196,ViT-L/14@336px,0.443122,0.01978782,1000000
Gender,Male,Female,joy,not joy,208,196,ViT-L/14@336px,1e-06,0.7250454,1000000
Race,European-American,African-American,joy,not joy,180,196,ViT-L/14@336px,1.0,-0.5531925,1000000
Asian,European-American,Asian-American,joy,apathy,104,28,ViT-L/14@336px,0.883746,-0.16592273,1000000
Gender,Male,Female,joy,apathy,208,28,ViT-L/14@336px,0.991699,-0.23456417,1000000
Race,European-American,African-American,joy,apathy,180,28,ViT-L/14@336px,1.0,-0.5711097,1000000
Asian,European-American,Asian-American,anger,not anger,104,126,ViT-L/14,0.487081,0.004605637,1000000
Gender,Male,Female,anger,not anger,208,126,ViT-L/14,0.961926,-0.17375088,1000000
Race,European-American,African-American,anger,not anger,180,126,ViT-L/14,0.015352,0.2275397,1000000
Asian,European-American,Asian-American,anger,apathy,104,28,ViT-L/14,0.111668,0.16928947,1000000
Gender,Male,Female,anger,apathy,208,28,ViT-L/14,0.999957,-0.38367933,1000000
Race,European-American,African-American,anger,apathy,180,28,ViT-L/14,0.999448,-0.34201443,1000000
Asian,European-American,Asian-American,disgust,not disgust,104,28,ViT-L/14,0.00021,0.48066607,1000000
Gender,Male,Female,disgust,not disgust,208,28,ViT-L/14,0.000993,0.30182835,1000000
Race,European-American,African-American,disgust,not disgust,180,28,ViT-L/14,0.000945,0.32659268,1000000
Asian,European-American,Asian-American,disgust,apathy,104,28,ViT-L/14,0.001346,0.41289237,1000000
Gender,Male,Female,disgust,apathy,208,28,ViT-L/14,1.0,-0.5873825,1000000
Race,European-American,African-American,disgust,apathy,180,28,ViT-L/14,3e-06,0.49245155,1000000
Asian,European-American,Asian-American,fear,not fear,104,140,ViT-L/14,0.001,0.4259216,1000000
Gender,Male,Female,fear,not fear,208,140,ViT-L/14,0.006467,0.24324079,1000000
Race,European-American,African-American,fear,not fear,180,140,ViT-L/14,1e-06,0.99959654,1000000
Asian,European-American,Asian-American,fear,apathy,104,28,ViT-L/14,5.2e-05,0.52830076,1000000
Gender,Male,Female,fear,apathy,208,28,ViT-L/14,0.991139,-0.23149243,1000000
Race,European-American,African-American,fear,apathy,180,28,ViT-L/14,0.049461,0.17413655,1000000
Asian,European-American,Asian-American,joy,not joy,104,196,ViT-L/14,0.917288,-0.1928223,1000000
Gender,Male,Female,joy,not joy,208,196,ViT-L/14,1e-06,0.8013483,1000000
Race,European-American,African-American,joy,not joy,180,196,ViT-L/14,0.999947,-0.40844253,1000000
Asian,European-American,Asian-American,joy,apathy,104,28,ViT-L/14,0.476306,0.008189325,1000000
Gender,Male,Female,joy,apathy,208,28,ViT-L/14,0.853431,-0.10359841,1000000
Race,European-American,African-American,joy,apathy,180,28,ViT-L/14,0.999938,-0.39703727,1000000
Asian,European-American,Asian-American,anger,not anger,104,126,ViT-B/16,0.491182,0.0028533335,1000000
Gender,Male,Female,anger,not anger,208,126,ViT-B/16,1e-06,1.0518881,1000000
Race,European-American,African-American,anger,not anger,180,126,ViT-B/16,0.999773,-0.36783874,1000000
Asian,European-American,Asian-American,anger,apathy,104,28,ViT-B/16,0.998624,-0.41280726,1000000
Gender,Male,Female,anger,apathy,208,28,ViT-B/16,1.0,-0.5574454,1000000
Race,European-American,African-American,anger,apathy,180,28,ViT-B/16,1.0,-0.83537185,1000000
Asian,European-American,Asian-American,disgust,not disgust,104,28,ViT-B/16,0.296906,0.07396557,1000000
Gender,Male,Female,disgust,not disgust,208,28,ViT-B/16,1e-06,1.093176,1000000
Race,European-American,African-American,disgust,not disgust,180,28,ViT-B/16,1.0,-0.49852815,1000000
